ego_id,ego_label,community_source,seed_strategy,budget_requested,budget_sanitized,budget_k,greedy_pool_size,p,propagation_regime,propagation_mode,propagation_multiplier,severity_regime,severity_score,base_harm_weight,method,mean_infected,std_infected,mean_total_harm,std_total_harm,mean_harm_per_node,mean_worst_community_infection_rate,mean_worst_community_harm_rate,runtime_seconds,n_runs_eval,n_runs_greedy_oracle,blocked_nodes_json,seeds_json
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,constant,1.0,high,0.695,2.4,fairness_aware_greedy_blocking,39.9375,8.485043767826745,95.85000000000005,20.364105042784235,0.40104602510460274,0.3415798611111111,0.8197916666666667,0.02064,32,32,"[17020962, 17753033, 18713254, 19562228, 19705747, 39974930, 102349515, 168767461, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,constant,1.0,high,0.695,2.4,harm_aware_greedy_blocking,40.09375,9.316511097629737,96.22500000000005,22.35962663431142,0.4026150627615065,0.3047516606280193,0.7314039855072464,0.02055,32,32,"[14306161, 17284200, 17753033, 20155652, 24447643, 39974930, 42534611, 168767461, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,constant,1.0,high,0.695,2.4,harm_aware_resilience_greedy_blocking,39.28125,8.293932391581754,94.27500000000006,19.905437739796255,0.394456066945607,0.3246112620772947,0.7790670289855073,0.02015,32,32,"[14306161, 17020962, 17753033, 19562228, 20155652, 24447643, 39974930, 41596377, 168767461, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,0.9,low,0.15,1.0,greedy_blocking,41.96875,6.855581079345781,41.96875,6.855581079345781,0.2268581081081081,0.4551428810160428,0.4551428810160428,0.02629,32,32,"[1699641, 4777911, 10779412, 11991892, 14575292, 16358736, 18794066, 19576151, 27403903, 31353077]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,0.9,low,0.15,1.0,fairness_aware_greedy_blocking,41.9375,7.066219046484706,41.9375,7.066219046484706,0.22668918918918918,0.3706422254216372,0.3706422254216372,0.02564,32,32,"[4777911, 10779412, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18794066, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,0.9,low,0.15,1.0,harm_aware_greedy_blocking,41.21875,7.2900036506030945,41.21875,7.2900036506030945,0.22280405405405404,0.38163435828877007,0.38163435828877007,0.02439,32,32,"[1699641, 4777911, 7861312, 14575292, 14631169, 16358736, 16371223, 18701960, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,0.9,low,0.15,1.0,harm_aware_resilience_greedy_blocking,42.3125,7.270965237426938,42.3125,7.270965237426938,0.2287162162162162,0.41823612967914436,0.41823612967914436,0.02476,32,32,"[4777911, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18713254, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.0,medium,0.49,1.6,greedy_blocking,46.40625,7.824112337573365,74.24999999999999,12.518579740117351,0.40135135135135125,0.42731868315508026,0.6837098930481285,0.0251,32,32,"[4777911, 14575292, 16358736, 16371223, 18396537, 18701960, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.0,medium,0.49,1.6,fairness_aware_greedy_blocking,46.625,8.083236336852917,74.59999999999998,12.93317813896463,0.4032432432432431,0.4151484085767174,0.664237453722748,0.02604,32,32,"[1699641, 4777911, 10779412, 11991892, 14575292, 16358736, 16371223, 18396537, 18701960, 19576151]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.0,medium,0.49,1.6,harm_aware_greedy_blocking,46.46875,8.131913931759755,74.34999999999998,13.011062290815573,0.4018918918918918,0.4565591577540107,0.7304946524064171,0.02504,32,32,"[1699641, 4777911, 10940912, 11991892, 14575292, 14631169, 16358736, 18701960, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.0,medium,0.49,1.6,harm_aware_resilience_greedy_blocking,45.875,8.465299186832125,73.39999999999998,13.544478698931366,0.39675675675675665,0.4308447526737968,0.689351604278075,0.0247,32,32,"[4777911, 10779412, 11991892, 14575292, 14631169, 16358736, 16371223, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.1,high,0.695,2.4,greedy_blocking,51.90625,8.543472796196804,124.57500000000013,20.504334710872378,0.6733783783783791,0.45772058823529416,1.098529411764706,0.02665,32,32,"[1699641, 4777911, 11991892, 14575292, 16358736, 16371223, 18701960, 18794066, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.1,high,0.695,2.4,fairness_aware_greedy_blocking,51.625,8.567568255138188,123.90000000000012,20.5621638123317,0.6697297297297303,0.47384692513368987,1.1372326203208558,0.02616,32,32,"[4777911, 10779412, 11991892, 14631169, 16358736, 16371223, 18701960, 18794066, 19576151, 31353077]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.1,high,0.695,2.4,harm_aware_greedy_blocking,51.5,8.758406100390346,123.60000000000011,21.02017464093688,0.6681081081081087,0.46575451203208557,1.1178108288770057,0.02594,32,32,"[4777911, 7861312, 11991892, 14575292, 16358736, 16371223, 18396537, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,bucket,1.1,high,0.695,2.4,harm_aware_resilience_greedy_blocking,50.90625,8.607421310293997,122.17500000000013,20.65781114470564,0.660405405405406,0.4619359959893048,1.1086463903743318,0.02596,32,32,"[4777911, 10779412, 11991892, 14575292, 16358736, 16371223, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,0.9,low,0.15,1.0,greedy_blocking,35.34375,7.494554474696515,35.34375,7.494554474696515,0.14788179916317992,0.29677687198067637,0.29677687198067637,0.01878,32,32,"[14230524, 14306161, 17020962, 17753033, 19562228, 24447643, 39974930, 41596377, 168767461, 171005817]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
