ego_id,ego_label,matrix_role,community_source,scenario_name,seed_strategy,propagation_regime,budget_k,budget_requested,budget_sanitized,max_blockers_graph,greedy_pool_size,pool_may_limit_greedy_family,method,n_nodes,n_edges,n_seeds,p,mean_infected,std_infected,mean_infected_stderr,mean_infection_rate,mean_steps,mean_worst_community_infection_rate,runtime_seconds,random_seed_eval,random_seed_seed_selection,random_seed_random_block,random_seed_greedy,n_runs_greedy_oracle,n_runs_eval,blocked_nodes_json,seeds_json,fairness_lambda
17602896,medium_circles,primary,circles,matrix_medium_random_b5,random,medium,5,5,5,151,16,False,pagerank_blocking,161,2520,10,0.03,43.708333333333336,13.000750114747198,1.8764966446040883,0.27148033126293997,7.666666666666667,0.31600835698517815,0.02255,314159265,4472812,13465134,20161937,48,48,"[16312576, 17446621, 19678610, 50735431, 115485051]","[12369372, 13274322, 15485441, 19554706, 23697509, 24447643, 38536306, 78767466, 105570240, 288452305]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b5,random,medium,5,5,5,151,16,False,greedy_blocking,161,2520,10,0.03,44.458333333333336,11.768978938218343,1.6987057895168491,0.27613871635610765,7.75,0.3363160937664249,0.02303,314159265,4472812,13465134,20161937,48,48,"[16312576, 17446621, 19678610, 27942809, 50735431]","[12369372, 13274322, 15485441, 19554706, 23697509, 24447643, 38536306, 78767466, 105570240, 288452305]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b5,random,medium,5,5,5,151,16,False,fairness_aware_greedy_blocking,161,2520,10,0.03,44.458333333333336,11.768978938218343,1.6987057895168491,0.27613871635610765,7.75,0.3363160937664249,0.0229,314159265,4472812,13465134,20161937,48,48,"[16312576, 17446621, 19678610, 27942809, 50735431]","[12369372, 13274322, 15485441, 19554706, 23697509, 24447643, 38536306, 78767466, 105570240, 288452305]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b10,random,medium,0,10,10,151,16,False,no_intervention,161,2520,10,0.03,61.604166666666664,14.73415424849488,2.126691980412497,0.38263457556935815,9.270833333333334,0.44573872595395775,0.03327,314159265,7189119,12434542,20173370,48,48,[],"[7081402, 12369372, 12986812, 14506253, 19554706, 20793816, 23680913, 23779324, 155823836, 191229716]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b10,random,medium,10,10,10,151,16,False,random_blocking,161,2520,10,0.03,51.895833333333336,12.425504969974673,1.7934671598079777,0.32233436853002073,8.583333333333334,0.3922264269946389,0.02819,314159265,7189119,12434542,20173370,48,48,"[689423, 6539592, 15485441, 16284388, 20108560, 20172395, 25209206, 36686415, 275197798, 498184465]","[7081402, 12369372, 12986812, 14506253, 19554706, 20793816, 23680913, 23779324, 155823836, 191229716]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b10,random,medium,10,10,10,151,16,False,top_degree_blocking,161,2520,10,0.03,30.875,8.847706759020499,1.277056469757839,0.19177018633540371,6.125,0.28626616209397665,0.01521,314159265,7189119,12434542,20173370,48,48,"[15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 105570240, 115485051]","[7081402, 12369372, 12986812, 14506253, 19554706, 20793816, 23680913, 23779324, 155823836, 191229716]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b10,random,medium,10,10,10,151,16,False,pagerank_blocking,161,2520,10,0.03,30.875,8.847706759020499,1.277056469757839,0.19177018633540371,6.125,0.28626616209397665,0.01514,314159265,7189119,12434542,20173370,48,48,"[15485441, 16312576, 17446621, 19678610, 20108560, 27942809, 33051095, 50735431, 105570240, 115485051]","[7081402, 12369372, 12986812, 14506253, 19554706, 20793816, 23680913, 23779324, 155823836, 191229716]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b10,random,medium,10,10,10,151,16,False,greedy_blocking,161,2520,10,0.03,32.625,10.844402419210901,1.5652546639830107,0.20263975155279504,6.666666666666667,0.24864001892147583,0.01607,314159265,7189119,12434542,20173370,48,48,"[14220046, 15485441, 16312576, 17446621, 19637934, 19678610, 20108560, 22677790, 27942809, 50735431]","[7081402, 12369372, 12986812, 14506253, 19554706, 20793816, 23680913, 23779324, 155823836, 191229716]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b10,random,medium,10,10,10,151,16,False,fairness_aware_greedy_blocking,161,2520,10,0.03,32.770833333333336,9.983474821100423,1.440990468852545,0.20354554865424432,6.645833333333333,0.26649059182171764,0.01633,314159265,7189119,12434542,20173370,48,48,"[14824849, 15485441, 16312576, 17446621, 19678610, 20108560, 22677790, 27942809, 50735431, 105570240]","[7081402, 12369372, 12986812, 14506253, 19554706, 20793816, 23680913, 23779324, 155823836, 191229716]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b20,random,medium,0,20,20,151,16,True,no_intervention,161,2520,10,0.03,61.1875,14.88774485301621,2.1488608746288436,0.38004658385093165,9.520833333333334,0.4468950383685482,0.03407,314159265,8487612,16896885,20125443,48,48,[],"[14506253, 16284388, 26053643, 32498545, 57034964, 74033417, 142157505, 191229716, 275197798, 348785149]",3.0
