ego_id,ego_label,community_source,seed_strategy,propagation_regime,p,propagation_mode,propagation_multiplier,severity_regime,severity_score,base_harm_weight,budget_requested,budget_sanitized,budget_k,greedy_pool_size,pool_may_limit_greedy_family,method,method_objective_family,mean_infected,std_infected,mean_infected_stderr,mean_total_harm,std_total_harm,mean_total_harm_stderr,mean_harm_per_node,mean_worst_community_infection_rate,mean_worst_community_harm_rate,runtime_seconds,n_runs_eval,n_runs_greedy_oracle,blocked_nodes_json,seeds_json
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,19,19,True,greedy_blocking,binary_objective,39.65625,5.397785537577185,0.9542026892528753,63.450000000000024,8.636456860123488,1.526724302804599,0.3429729729729731,0.3689505347593583,0.5903208556149735,0.02109,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,19,19,True,fairness_aware_greedy_blocking,binary_objective,39.65625,5.397785537577185,0.9542026892528753,63.450000000000024,8.636456860123488,1.526724302804599,0.3429729729729731,0.3689505347593583,0.5903208556149735,0.02102,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,19,19,True,harm_aware_greedy_blocking,harm_objective,39.65625,5.397785537577185,0.9542026892528753,63.450000000000024,8.636456860123488,1.526724302804599,0.3429729729729731,0.3689505347593583,0.5903208556149735,0.02114,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,medium,0.49,1.6,20,20,19,19,True,harm_aware_resilience_greedy_blocking,harm_objective,39.65625,5.397785537577185,0.9542026892528753,63.450000000000024,8.636456860123488,1.526724302804599,0.3429729729729731,0.3689505347593583,0.5903208556149735,0.02097,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,20,20,0,19,True,no_intervention,heuristic_baseline,62.65625,8.299278534520237,1.4671190326788028,150.3750000000002,19.918268482848617,3.521085678429136,0.8128378378378389,0.5659592245989304,1.3583021390374335,0.03524,32,32,[],"[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,20,20,20,19,True,random_blocking,heuristic_baseline,52.84375,6.309794613497029,1.1154246397745249,126.82500000000013,15.143507072392907,2.6770191354588664,0.6855405405405413,0.5033631350267379,1.2080715240641713,0.02958,32,32,"[692513, 2086511, 11625912, 12263132, 14431630, 14574672, 14631169, 15186890, 15696517, 19772827, 20091731, 21123687, 21278996, 21453865, 28743809, 36521667, 44663985, 53821910, 138564626, 279573338]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,20,20,20,19,True,top_degree_blocking,heuristic_baseline,38.125,5.481640912790092,0.9690263653658725,91.50000000000004,13.155938190696252,2.3256632768780996,0.4945945945945948,0.3560035093582888,0.8544084224598931,0.01987,32,32,"[1699641, 3991341, 4777911, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18705330, 18794066, 19576151, 20091323, 21031864, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,20,20,20,19,True,pagerank_blocking,heuristic_baseline,38.59375,5.216965964137368,0.9222380026152369,92.62500000000004,12.520718313929713,2.2133712062765736,0.500675675675676,0.35808823529411765,0.8594117647058823,0.02012,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 15698746, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,20,20,19,19,True,greedy_blocking,binary_objective,39.65625,5.397785537577185,0.9542026892528753,95.17500000000004,12.954685290185274,2.290086454206906,0.5144594594594597,0.3689505347593583,0.8854812834224599,0.02085,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,20,20,19,19,True,fairness_aware_greedy_blocking,binary_objective,39.65625,5.397785537577185,0.9542026892528753,95.17500000000004,12.954685290185274,2.290086454206906,0.5144594594594597,0.3689505347593583,0.8854812834224599,0.02083,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,medium,0.03,constant,1.0,high,0.695,2.4,20,20,19,19,True,harm_aware_greedy_blocking,harm_objective,39.65625,5.397785537577185,0.9542026892528753,95.17500000000004,12.954685290185274,2.290086454206906,0.5144594594594597,0.3689505347593583,0.8854812834224599,0.02078,32,32,"[1699641, 3991341, 4777911, 7861312, 10779412, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 18713254, 18794066, 19576151, 27403903, 31353077, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
