ego_label,seed_strategy,propagation_regime,propagation_mode,severity_regime,budget_requested,method,mean_total_harm,mean_worst_community_harm_rate,delta_harm_vs_greedy,delta_worst_harm_vs_greedy,delta_harm_vs_fairness,delta_worst_harm_vs_fairness
moderate_large_circles,community_concentrated,high,constant,medium,10,harm_aware_greedy_blocking,116.99999999999984,1.075508021390374,-0.20000000000000284,0.09532702591526143,-1.6499999999999915,0.047700534759358426
moderate_large_circles,community_concentrated,high,bucket,medium,10,harm_aware_resilience_greedy_blocking,118.34999999999982,1.0509090909090903,-0.1500000000000199,0.0605882352941175,0.04999999999998295,0.04470588235294093
large_circles,high_degree,high,constant,high,10,harm_aware_resilience_greedy_blocking,189.6750000000003,1.482210144927536,-0.07499999999998863,-0.1677898550724637,1.2750000000000625,-0.05607110507246382
large_circles,community_concentrated,high,bucket,high,20,harm_aware_greedy_blocking,144.30000000000018,1.1970238095238093,0.0,0.0,0.0,0.0
large_circles,community_concentrated,high,bucket,high,20,harm_aware_resilience_greedy_blocking,144.30000000000018,1.1970238095238093,0.0,0.0,0.0,0.0
large_circles,community_concentrated,high,bucket,medium,20,harm_aware_greedy_blocking,84.49999999999994,0.716170634920635,0.0,0.0,0.0,0.0
large_circles,community_concentrated,high,bucket,medium,20,harm_aware_resilience_greedy_blocking,84.49999999999994,0.716170634920635,0.0,0.0,0.0,0.0
large_circles,community_concentrated,high,constant,high,20,harm_aware_greedy_blocking,126.75000000000014,1.074255952380952,0.0,0.0,0.0,0.0
large_circles,community_concentrated,high,constant,high,20,harm_aware_resilience_greedy_blocking,126.75000000000014,1.074255952380952,0.0,0.0,0.0,0.0
large_circles,community_concentrated,high,constant,medium,20,harm_aware_greedy_blocking,84.49999999999994,0.716170634920635,0.0,0.0,0.0,0.0
large_circles,community_concentrated,high,constant,medium,20,harm_aware_resilience_greedy_blocking,84.49999999999994,0.716170634920635,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,bucket,high,20,harm_aware_greedy_blocking,70.42500000000001,0.7153273809523808,0.0,0.0,0.0,0.0
